T6_Z2
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1731532052;27.15;36.06;2972
1731532352;26.6;36.92;2970
1731532653;26.1;37.67;2968
1731532953;25.67;38.38;2966
1731533253;25.27;39.06;2965
1731533554;24.92;39.69;2963
1731533852;24.99;40.5;2962
1731534155;28.73;36.23;2961
1731534455;33.69;29.46;2962
1731534755;38.37;24.29;2963
1731535056;42.03;20.9;2966
1731535356;43.27;19.83;2968
1731535656;42.26;20.39;2972
1731535957;40.39;21.8;2975
1731536257;38.34;23.49;2977
1731536555;36.39;25.2;2980
1731536858;34.64;26.89;2982
1731537158;33.1;28.49;2982
1731537459;31.75;30;2981
1731537759;30.58;31.4;2980
1731538060;29.59;32.7;2979
1731538360;28.71;33.91;2977
1731538660;27.97;34.97;2974
1731538961;27.31;36.03;2972
1731539261;26.73;37.14;2970
1731539561;26.23;38.11;2968
1731539862;25.8;38.95;2966
1731540162;25.4;39.75;2965
1731540462;25.06;40.31;2964
1731540760;24.72;40.92;2962
1731541063;24.55;41.73;2961
1731541364;27.47;39.03;2960
1731541664;32.49;31.62;2961
1731541964;37.26;25.89;2962
1731542265;41.26;21.98;2965
1731542565;43.76;19.85;2967
1731542866;44.9;18.96;2971
1731543166;45.27;18.62;2974
1731543466;45.3;18.52;2978
1731543767;45.27;18.5;2981
1731544067;45.25;18.49;2984
1731544367;45.26;18.46;2986
1731544668;45.27;18.43;2987
1731544968;45.32;18.37;2988
1731545269;45.37;18.35;2989
1731545569;45.41;18.32;2990
1731545869;45.45;18.28;2990
1731546170;45.49;18.25;2991
1731546470;45.54;18.24;2991
1731546770;45.59;18.22;2992
1731547071;45.62;18.21;2992
1731547371;45.65;18.19;2993
1731547671;45.67;18.18;2993
1731547972;45.7;18.17;2993
1731548272;45.71;18.17;2994
1731548573;45.71;18.17;2994
1731548873;45.72;18.17;2995
1731549173;45.74;18.16;2995
1731549474;45.75;18.15;2995
1731549774;45.76;18.15;2996
1731550074;45.77;18.15;2996
1731550375;45.77;18.15;2996
1731550675;45.79;18.14;2997
1731550976;45.8;18.15;2997
1731551276;45.82;18.13;2997
1731551576;45.84;18.14;2998
